Nome,Status,Build,Data do teste,
4x4 EVO 2 (Demo),Boot,,14/07/2017,
Aftershock Pool SX (Homebrew),In-Game,,22/07/2017,
APEX,Crash,,11/07/2017,
Arctic Thunder,Crash,,11/07/2017,
Arx Fatalis,Crash,,11/07/2017,
Arx Fatalis (Demo),Boot,,14/07/2017,
Battlestar Galactica,Boot,,11/07/2017,
Big Mutha Truckers,Crash,,11/07/2017,
Black,Crash,,11/07/2017,
Breakdown,Crash,,11/07/2017,
Buffy The Vampire Slayer,Boot,,11/07/2017,
Burnout,Intro-Menus,,22/07/2017,
Cel Damage (Demo),Boot,,22/07/2017,
Chicago Enforcer,Crash,,12/07/2017,
Conflict: Desert Storm (Demo),Crash,,14/07/2017,
Conker Live & Reloaded,Crash,,12/07/2017,
Crazy Taxi 3,Crash,,12/07/2017,
Dead or Alive 3,Boot,,13/07/2017,
Dino Crisis 3,Boot,,12/07/2017,
Dungeons and Dragons Heroes,Boot,,12/07/2017,
Exa Skeleton,Boot,,12/07/2017,
Fatal Frame,Boot,,12/07/2017,
Ford Racing 2 (Demo),Crash,,15/07/2017,
Forza Motorsport,Crash,,15/07/2017,
Frogger Beyond,Boot,,12/07/2017,
Futurama,Boot,,12/07/2017,
Gauntlet Dark Legacy,Jogável,,12/07/2017,
Grabbed by the Ghoulies (Demo),Crash,,15/07/2017,
Gun Valkyrie,Boot,,12/07/2017,
Halo,Crash,,12/07/2017,
Halo (Demo),Crash,,22/07/2017,
Hummer Badlands,Crash,,12/07/2017,
Jet Set Radio Future,In-Game,,12/07/2017,
Jet Set Radio Future (Demo),Crash,,22/07/2017,
Kingdom Under Fire - The Crusaders,Crash,,12/07/2017,
Max Payne (Demo),Crash,,22/07/2017,
MechAssault,Crash,,12/07/2017,
Metal Arms (Demo),Crash,,17/07/2017,
Metal Slug 5,Crash,,12/07/2017,
Metal Wolf Chaos,Crash,,12/07/2017,
Miami Vice,Intro-Menus,,12/07/2017,
Midtown Madness 3 (Demo),Crash,,17/07/2017,
MTV Music Generator,Jogável,,12/07/2017,
Namco Museum 50th Anniversary,Boot,,12/07/2017,
Ninja Gaiden,Crash,,13/07/2017,
Ninja Gaiden (Demo),Crash,,17/07/2017,
Otogi,Crash,,12/07/2017,
Outlaw Volleyball (Demo),Boot,,17/07/2017,
Panzer Dragoon,Intro-Menus,,12/07/2017,
Panzer Dragoon Orta,In-Game,,12/07/2017,
Petit Copter,Crash,,12/07/2017,
Project Gotham Racing,Intro-Menus,,12/07/2017,
Project Gotham Racing 2 (Demo),Boot,,19/07/2017,
Psyvariar 2 - Extend Edition,In-Game,,12/07/2017,
Rayman Arena,Intro-Menus,,12/07/2017,
Robotech Battlecry,Intro-Menus,,12/07/2017,
Sea Blade,Boot,,11/07/2017,
Shikigami no Shiro Evolution,Jogável,,11/07/2017,
Shin Megami Tensei Nine,Crash,,11/07/2017,
Silent Scope Complete,Intro-Menus,,11/07/2017,
Simpsons Hit & Run,Crash,,13/07/2017,
Smashing Drive,Jogável,,11/07/2017,
Spider-Man,Crash,,11/07/2017,
Spider-Man 2,Crash,,11/07/2017,
Taz - Wanted,Intro-Menus,,11/07/2017,
Tenchu 3 (Demo),Boot,,19/07/2017,
Tony Hawk's Pro Skater 2X (Demo),Crash,,19/07/2017,
Turok Evolution,In-Game,,11/07/2017,
Urban Chaos: Riot Response,Boot,,12/07/2017,
Yu-Gi-Oh! The Dawn of Destiny,In-Game,,12/07/2017,
Alien vs Predator: Gold Edition (Homebrew),Jogável,,24/07/2017,
Mortal Kombat 1,Jogável,,24/07/2017,
Rise of the Triad (Homebrew),Intro-Menus,,25/07/2017,
Unreal Championship,Intro-Menus,,26/07/2017,
Mad Dash Racing,Crash,,26/07/2017,
XGRA: Extreme G Racing Association,Crash,,27/07/2017,
Gauntlet (Midway Arcade Treasures),Jogável,,04/08/2017,
MotoGP,Crash,,04/08/2017,
Klax (Midway Arcade Treasures),Jogável,,04/08/2017,
Marble Madness (Midway Arcade Treasures),Jogável,,04/08/2017,
Rampart (Midway Arcade Treasures),Jogável,,04/08/2017,
RoadBlasters (Midway Arcade Treasures),Jogável,,05/08/2017,
Smash TV (Midway Arcade Treasures),Jogável,,05/08/2017,
Vindicators (Midway Arcade Treasures),Jogável,,05/08/2017,
Constantine,Boot,,09/08/2017,
Rocky,In-Game,,30/08/2017,
Gungriffon Allied Strike,Crash,,02/09/2017,
Black Stone: Magic And Steel,Crash,,02/09/2017,
Bionicle - The Game,Crash,,02/09/2017,
Curse - The Eye of Isis,Crash,,02/09/2017,
Dave Mirra Freestyle BMX 2,Boot,,02/09/2017,
Deathrow,Crash,,02/09/2017,
Digimon World 4,Intro-Menus,,02/09/2017,
Aggressive Inline,Crash,,03/10/2017,<---
ATV Quad Power Racing 2,Crash,,03/10/2017,
Auto Modellista,Boot,,03/10/2017,
Batman - Vengeance,Boot,,03/10/2017,
Carve,Intro-Menus,,03/10/2017,
Chase - Hollywood Stunt Driver,Intro-Menus,,03/10/2017,
Circus Maximus,Crash,,03/10/2017,
Evil Dead - A Fistful of Boomstick,Intro-Menus,,03/10/2017,
Ghost Recon,In-Game,,03/10/2017,
Tenchu: Return from Darkness,In-Game,,03/10/2017,
Hexen,In-Game,,03/10/2017,
Silent Scope 1,In-Game,,03/10/2017,
Silent Scope 2,In-Game,,03/10/2017,
Silent Scope 3,Crash,,03/10/2017,
Xgra,Boot,,03/10/2017,